UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIAN (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),ORANG ASLI (%),OTHERS (%),URBAN - RURAL CLASSIFICATION (2013),RACIAL COMPOSITION
P.140_N.01,JOHOR,P.140,SEGAMAT,N.01,BULOH KASAP,18779,55.88,32.14,11.6,0.02,0.05,0.21,0.09,RURAL,Malay (50-59%)
P.140_N.02,JOHOR,P.140,SEGAMAT,N.02,JEMENTAH,28230,36.58,54.47,8.71,0.04,0.05,0.0,0.15,SEMI URBAN,Chinese-majority (>50%)
P.141_N.03,JOHOR,P.141,SEKIJANG,N.03,PEMANIS,22617,56.94,39.3,3.5,0.02,0.05,0.01,0.19,RURAL,Malay (50-59%)
P.141_N.04,JOHOR,P.141,SEKIJANG,N.04,KEMELAH,20449,55.24,38.63,5.7,0.03,0.03,0.28,0.07,RURAL,Malay (50-59%)
P.142_N.05,JOHOR,P.142,LABIS,N.05,TENANG,16940,49.55,37.64,11.31,0.05,0.05,1.32,0.08,RURAL,Mixed (no race >50%)
P.142_N.06,JOHOR,P.142,LABIS,N.06,BEKOK,20774,25.91,53.66,18.13,0.05,0.04,2.08,0.13,SEMI URBAN,Chinese-majority (>50%)
P.143_N.07,JOHOR,P.143,PAGOH,N.07,BUKIT KEPONG,21429,70.93,26.1,2.07,0.02,0.03,0.77,0.08,RURAL,Malay (70-79%)
P.143_N.08,JOHOR,P.143,PAGOH,N.08,BUKIT PASIR,25364,59.61,34.82,5.41,0.06,0.04,0.01,0.06,RURAL,Malay (50-59%)
P.144_N.09,JOHOR,P.144,LEDANG,N.09,GAMBIR,21382,56.3,39.74,3.81,0.05,0.03,0.0,0.07,RURAL,Malay (50-59%)
P.144_N.10,JOHOR,P.144,LEDANG,N.10,TANGKAK,23394,37.97,51.16,9.67,0.03,0.04,1.01,0.11,SEMI URBAN,Chinese-majority (>50%)
P.144_N.11,JOHOR,P.144,LEDANG,N.11,SEROM,24540,66.18,32.75,0.91,0.04,0.04,0.0,0.08,SEMI URBAN,Malay (60-69%)
P.145_N.12,JOHOR,P.145,BAKRI,N.12,BENTAYAN,23438,24.79,72.65,2.19,0.07,0.03,0.0,0.26,URBAN,Chinese-majority (>50%)
P.145_N.13,JOHOR,P.145,BAKRI,N.13,SIMPANG JERAM,28262,51.33,45.22,2.95,0.05,0.06,0.0,0.38,SEMI URBAN,Malay (50-59%)
P.145_N.14,JOHOR,P.145,BAKRI,N.14,BUKIT NANING,15502,59.98,38.4,1.05,0.17,0.23,0.01,0.16,SEMI URBAN,Malay (50-59%)
P.146_N.15,JOHOR,P.146,MUAR,N.15,MAHARANI,27090,55.0,41.99,2.47,0.1,0.13,0.0,0.31,SEMI URBAN,Malay (50-59%)
P.146_N.16,JOHOR,P.146,MUAR,N.16,SUNGAI BALANG,21118,72.75,26.9,0.22,0.03,0.04,0.0,0.06,RURAL,Malay (70-79%)
P.147_N.17,JOHOR,P.147,PARIT SULONG,N.17,SEMERAH,31046,65.59,33.59,0.59,0.02,0.06,0.0,0.14,RURAL,Malay (60-69%)
P.147_N.18,JOHOR,P.147,PARIT SULONG,N.18,SRI MEDAN,25850,90.33,9.12,0.29,0.02,0.05,0.02,0.17,RURAL,Malay (90+%)
P.148_N.19,JOHOR,P.148,AYER HITAM,N.19,YONG PENG,22484,32.61,60.4,6.82,0.02,0.05,0.0,0.1,SEMI URBAN,Chinese-majority (>50%)
P.148_N.20,JOHOR,P.148,AYER HITAM,N.20,SEMARANG,20429,85.75,13.27,0.8,0.01,0.05,0.0,0.12,RURAL,Malay (80-89%)
P.149_N.21,JOHOR,P.149,SRI GADING,N.21,PARIT YAANI,24609,55.6,43.07,1.09,0.05,0.04,0.0,0.14,SEMI URBAN,Malay (50-59%)
P.149_N.22,JOHOR,P.149,SRI GADING,N.22,PARIT RAJA,20207,75.78,22.17,1.82,0.05,0.06,0.0,0.13,SEMI URBAN,Malay (70-79%)
P.150_N.23,JOHOR,P.150,BATU PAHAT,N.23,PENGGARAM,45157,35.75,61.52,2.31,0.06,0.07,0.0,0.29,URBAN,Chinese-majority (>50%)
P.150_N.24,JOHOR,P.150,BATU PAHAT,N.24,SENGGARANG,24048,61.81,37.42,0.55,0.03,0.04,0.02,0.13,RURAL,Malay (60-69%)
P.150_N.25,JOHOR,P.150,BATU PAHAT,N.25,RENGIT,19067,81.16,18.28,0.29,0.03,0.02,0.17,0.05,RURAL,Malay (80-89%)
P.151_N.26,JOHOR,P.151,SIMPANG RENGGAM,N.26,MACHAP,22221,62.81,31.69,5.22,0.02,0.04,0.01,0.21,SEMI URBAN,Malay (60-69%)
P.151_N.27,JOHOR,P.151,SIMPANG RENGGAM,N.27,LAYANG-LAYANG,17922,49.34,34.92,15.11,0.16,0.2,0.02,0.26,RURAL,Mixed (no race >50%)
P.152_N.28,JOHOR,P.152,KLUANG,N.28,MENGKIBOL,42380,27.64,58.3,13.8,0.02,0.05,0.01,0.18,URBAN,Chinese-majority (>50%)
P.152_N.29,JOHOR,P.152,KLUANG,N.29,MAHKOTA,44352,50.97,40.64,5.94,0.54,1.42,0.09,0.4,URBAN,Malay (50-59%)
P.153_N.30,JOHOR,P.153,SEMBRONG,N.30,PALOH,18222,38.05,43.57,17.11,0.03,0.03,0.94,0.28,RURAL,Mixed (no race >50%)
P.153_N.31,JOHOR,P.153,SEMBRONG,N.31,KAHANG,23366,74.87,20.99,2.57,0.02,0.06,1.35,0.15,RURAL,Malay (70-79%)
P.154_N.32,JOHOR,P.154,MERSING,N.32,ENDAU,19040,76.54,18.93,0.72,0.07,0.03,3.51,0.2,RURAL,Malay (70-79%)
P.154_N.33,JOHOR,P.154,MERSING,N.33,TENGGAROH,25457,82.24,13.42,1.72,0.77,1.5,0.09,0.26,RURAL,Malay (80-89%)
P.155_N.34,JOHOR,P.155,TENGGARA,N.34,PANTI,17358,87.29,7.2,4.0,0.03,0.06,1.18,0.24,RURAL,Malay (80-89%)
P.155_N.35,JOHOR,P.155,TENGGARA,N.35,PASIR RAJA,22336,62.02,25.43,9.23,0.78,2.17,0.08,0.29,RURAL,Malay (60-69%)
P.156_N.36,JOHOR,P.156,KOTA TINGGI,N.36,SEDILI,24716,96.78,2.05,0.86,0.02,0.08,0.12,0.1,RURAL,Malay (90+%)
P.156_N.37,JOHOR,P.156,KOTA TINGGI,N.37,JOHOR LAMA,17178,72.93,22.7,3.95,0.05,0.1,0.01,0.26,RURAL,Malay (70-79%)
P.157_N.38,JOHOR,P.157,PENGERANG,N.38,PENAWAR,19881,98.36,0.31,0.8,0.05,0.03,0.35,0.11,RURAL,Malay (90+%)
P.157_N.39,JOHOR,P.157,PENGERANG,N.39,TANJUNG SURAT,18118,77.57,20.74,0.9,0.23,0.35,0.07,0.15,RURAL,Malay (70-79%)
P.158_N.40,JOHOR,P.158,TEBRAU,N.40,TIRAM,46658,54.14,29.71,14.64,0.27,0.7,0.17,0.37,URBAN,Malay (50-59%)
P.158_N.41,JOHOR,P.158,TEBRAU,N.41,PUTERI WANGSA,43824,40.26,47.23,11.79,0.18,0.3,0.0,0.25,URBAN,Mixed (no race >50%)
P.159_N.42,JOHOR,P.159,PASIR GUDANG,N.42,JOHOR JAYA,51648,43.37,47.06,7.51,0.99,0.72,0.03,0.32,URBAN,Mixed (no race >50%)
P.159_N.43,JOHOR,P.159,PASIR GUDANG,N.43,PERMAS,49393,52.4,29.41,14.77,1.46,1.48,0.11,0.37,URBAN,Malay (50-59%)
P.160_N.44,JOHOR,P.160,JOHOR BAHRU,N.44,LARKIN,51442,62.31,31.63,5.35,0.13,0.13,0.0,0.45,URBAN,Malay (60-69%)
P.160_N.45,JOHOR,P.160,JOHOR BAHRU,N.45,STULANG,44879,39.26,55.14,4.55,0.23,0.38,0.03,0.41,URBAN,Chinese-majority (>50%)
P.161_N.46,JOHOR,P.161,PULAI,N.46,PERLING,61217,43.27,44.69,10.7,0.24,0.34,0.25,0.51,URBAN,Mixed (no race >50%)
P.161_N.47,JOHOR,P.161,PULAI,N.47,KEMPAS,39273,55.04,35.25,8.96,0.17,0.3,0.0,0.28,URBAN,Malay (50-59%)
P.162_N.48,JOHOR,P.162,GELANG PATAH,N.48,SKUDAI,56543,22.28,64.86,12.24,0.13,0.28,0.01,0.2,URBAN,Chinese-majority (>50%)
P.162_N.49,JOHOR,P.162,GELANG PATAH,N.49,KOTA ISKANDAR,50183,47.78,38.36,12.78,0.15,0.26,0.47,0.2,URBAN,Mixed (no race >50%)
P.163_N.50,JOHOR,P.163,KULAI,N.50,BUKIT PERMAI,21619,53.69,33.93,11.98,0.08,0.12,0.0,0.2,RURAL,Malay (50-59%)
P.163_N.51,JOHOR,P.163,KULAI,N.51,BUKIT BATU,22262,30.84,61.63,7.21,0.06,0.09,0.01,0.16,SEMI URBAN,Chinese-majority (>50%)
P.163_N.52,JOHOR,P.163,KULAI,N.52,SENAI,40110,23.29,65.04,11.05,0.28,0.21,0.01,0.13,URBAN,Chinese-majority (>50%)
P.164_N.53,JOHOR,P.164,PONTIAN,N.53,BENUT,21463,81.41,18.22,0.17,0.02,0.03,0.04,0.11,RURAL,Malay (80-89%)
P.164_N.54,JOHOR,P.164,PONTIAN,N.54,PULAI SEBATANG,28170,63.77,34.5,1.44,0.02,0.04,0.01,0.21,SEMI URBAN,Malay (60-69%)
P.165_N.55,JOHOR,P.165,TANJONG PIAI,N.55,PEKAN NANAS,32486,40.69,57.79,1.21,0.05,0.11,0.02,0.14,SEMI URBAN,Chinese-majority (>50%)
P.165_N.56,JOHOR,P.165,TANJONG PIAI,N.56,KUKUP,19389,71.26,27.56,0.85,0.08,0.04,0.0,0.21,RURAL,Malay (70-79%)
