UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT ,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT ,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT,RACIAL COMPOSITION
P.140_N.01,JOHOR,P.140,SEGAMAT,N.01,BULOH KASAP,BN - UMNO,,18779,3370,85.51,16057,34,497,15526,UMNO,NORSHIDA BINTI IBRAHIM,FEMALE,38.0,9448,,,,,,,,PAS,FIRDAUS MASOD,MALE,39.0,6078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (50-59%)
P.140_N.02,JOHOR,P.140,SEGAMAT,N.02,JEMENTAH,PR - DAP,,28230,2196,84.44,23838,44,428,23366,MCA,DR LEE HONG TEE,MALE,50.0,10585,,DAP,TAN CHEN CHOON,MALE,43.0,12781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese-majority (>50%)
P.141_N.03,JOHOR,P.141,SEKIJANG,N.03,PEMANIS,BN - GERAKAN,,22617,1329,87.01,19679,33,365,19281,GERAKAN,LAU CHIN HOON,MALE,,10305,,,,,,,,PAS,CIKGU MALA,FEMALE,40.0,8976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (50-59%)
P.141_N.04,JOHOR,P.141,SEKIJANG,N.04,KEMELAH,BN - UMNO,,20449,2260,87.24,17840,37,229,17574,UMNO,DATUK HJ AYUB BIN RAHMAT,MALE,44.0,9917,,PKR,NATRAH ISMAIL,FEMALE,63.0,7657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (50-59%)
P.142_N.05,JOHOR,P.142,LABIS,N.05,TENANG,BN - UMNO,,16940,1586,86.3,14619,26,337,14256,UMNO,MOHD AZAHAR BIN IBRAHIM,MALE,41.0,7921,,,,,,,,PAS,HJ MD ZIN BIN HJ JOHAR,MALE,56.0,6335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed (no race >50%)
P.142_N.06,JOHOR,P.142,LABIS,N.06,BEKOK,PR - DAP,,20774,1401,83.8,17408,25,298,17085,MCA,TAN CHONG,MALE,48.0,7842,,DAP,LIM ENG GUAN,MALE,53.0,9243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese-majority (>50%)
P.143_N.07,JOHOR,P.143,PAGOH,N.07,BUKIT KEPONG,BN - UMNO,,21429,7845,86.46,18527,36,382,18109,UMNO,HJ. ISMAIL BIN MOHAMED,MALE,42.0,12977,,PKR,CIKGU SAADON BIN ABDULLAH,MALE,,5132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (70-79%)
P.143_N.08,JOHOR,P.143,PAGOH,N.08,BUKIT PASIR,BN - UMNO,,25364,3726,87.08,22086,37,449,21600,UMNO,DATUK DR SHAHRUDDIN BIN MD. SALLEH,MALE,56.0,12663,,,,,,,,PAS,NOR HAYATI BTE BACHOK,FEMALE,51.0,8937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (50-59%)
P.144_N.09,JOHOR,P.144,LEDANG,N.09,GAMBIR,BN - MIC,,21382,310,87.51,18711,21,492,18198,MIC,M ASOJAN,MALE,48.0,8705,,,,,,,,PAS,DATO’ DR MAHFODZ BIN MOHAMED,MALE,69.0,8395.0,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,MOHD ZAN BIN ABU,MALE,,837.0,LOST DEPOSIT,INDEPENDENT - KEY,HJ. YUNUS,MALE,,261.0,LOST DEPOSIT,,,,,,,,,,,,,Malay (50-59%)
P.144_N.10,JOHOR,P.144,LEDANG,N.10,TANGKAK,PR - DAP,,23394,1537,87.12,20381,22,438,19921,MCA,GOH TEE TEE,MALE,57.0,9192,,DAP,EE CHIN LI,MALE,31.0,10729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese-majority (>50%)
P.144_N.11,JOHOR,P.144,LEDANG,N.11,SEROM,BN - UMNO,,24540,2264,86.76,21290,13,305,20972,UMNO,HJ ABD RAZAK BIN MINHAT,MALE,,11618,,,,,,,,PAS,AZMI BIN AHMAD,MALE,44.0,9354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (60-69%)
P.145_N.12,JOHOR,P.145,BAKRI,N.12,BENTAYAN,PR - DAP,,23438,6847,84.83,19882,50,209,19623,MCA,FONG SOH LAN,FEMALE,40.0,6388,,DAP,CHUA WEE BENG,MALE,,13235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese-majority (>50%)
P.145_N.13,JOHOR,P.145,BAKRI,N.13,SIMPANG JERAM,PR - PAS,,28262,3813,87.62,24762,73,334,24355,UMNO,DATUK DR. HJ. HARIS BIN HJ. SALLEH,MALE,65.0,10271,,,,,,,,PAS,DR. SHEIKH IBRAHIM BIN SALLEH,MALE,58.0,14084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (50-59%)
