UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIAN (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),ORANG ASLI (%),OTHERS (%),MUSLIM BUMIPUTERA (%),NON-MUSLIM BUMIPUTERA (%),ELECTORS - ORDINARY VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),FEMALE ELECTORS (%),URBAN-RURAL CLASSIFICATION (2018),RACIAL COMPOSITION
P. 140_N. 01,JOHOR,P. 140,SEGAMAT,N. 01,BULOH KASAP,21484,56.37,30.25,12.87,0.03,0.05,0.2,0.23,,,99.92,0.01,0.07,0.0,17.6,24.4,17.6,19.0,14.1,5.0,1.8,0.5,49.6,50.4,SEMI URBAN,Malay (50-59%)
P. 140_N. 02,JOHOR,P. 140,SEGAMAT,N. 02,JEMENTAH,33866,39.73,50.71,8.32,0.47,0.5,0.04,0.23,,,93.24,0.02,3.53,3.2,16.6,20.6,17.3,20.1,14.8,7.3,2.9,0.5,50.7,49.3,SEMI URBAN,Chinese-majority (>50%)
P. 141_N. 03,JOHOR,P. 141,SEKIJANG,N. 03,PEMANIS,22314,63.27,33.41,2.79,0.02,0.06,0.01,0.44,,,99.96,0.03,0.01,0.0,15.1,24.0,19.0,17.8,15.7,6.1,2.1,0.3,49.0,51.0,SEMI URBAN,Malay (60-69%)
P. 141_N. 04,JOHOR,P. 141,SEKIJANG,N. 04,KEMELAH,23282,55.38,38.78,5.17,0.03,0.03,0.34,0.27,,,99.96,0.02,0.02,0.0,17.6,25.9,19.3,16.4,12.9,6.2,1.6,0.2,49.1,50.9,SEMI URBAN,Malay (50-59%)
P. 142_N. 05,JOHOR,P. 142,LABIS,N. 05,TENANG,18398,49.61,37.68,10.81,0.06,0.04,1.62,0.18,,,99.94,0.02,0.04,0.0,15.6,22.4,20.5,18.1,13.1,7.3,2.6,0.4,49.6,50.4,RURAL,Mixed (no race >50%)
P. 142_N. 06,JOHOR,P. 142,LABIS,N. 06,BEKOK,21958,28.24,51.02,17.93,0.07,0.05,2.4,0.29,,,99.71,0.02,0.26,0.0,14.7,20.7,19.3,19.6,15.0,7.5,2.5,0.7,50.3,49.7,SEMI URBAN,Chinese-majority (>50%)
P. 143_N. 07,JOHOR,P. 143,PAGOH,N. 07,BUKIT KEPONG,28992,69.17,26.9,3.12,0.02,0.03,0.61,0.14,,,99.72,0.01,0.27,0.0,15.2,22.9,17.8,20.1,13.5,6.7,3.3,0.5,49.5,50.5,RURAL,Malay (60-69%)
P. 143_N. 08,JOHOR,P. 143,PAGOH,N. 08,BUKIT PASIR,22520,61.83,33.43,4.48,0.06,0.05,0.0,0.15,,,99.88,0.0,0.12,0.0,16.4,23.3,20.1,18.2,12.1,6.3,3.1,0.5,48.5,51.5,SEMI URBAN,Malay (60-69%)
P. 144_N. 09,JOHOR,P. 144,LEDANG,N. 09,GAMBIR,22726,59.45,36.6,3.73,0.05,0.03,0.0,0.14,,,99.85,0.01,0.13,0.0,17.3,21.5,20.4,18.6,12.1,6.9,2.9,0.5,48.8,51.2,SEMI URBAN,Malay (50-59%)
P. 144_N. 10,JOHOR,P. 144,LEDANG,N. 10,TANGKAK,26354,39.97,49.28,9.31,0.08,0.03,1.05,0.28,,,98.65,0.05,1.3,0.0,16.8,22.5,19.5,18.4,13.1,7.0,2.3,0.4,49.5,50.5,SEMI URBAN,Mixed (no race >50%)
