UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE SEX,GS CANDIDATE AGE,GS VOTE,GS CANDIDATE LOST DEPOSIT,GSABAH (1),GSABAH (1) CANDIDATE,GSABAH (1) CANDIDATE SEX,GSABAH (1) CANDIDATE AGE,GSABAH (1) VOTE,GSABAH (1) CANDIDATE LOST DEPOSIT,GSABAH (2),GSABAH (2) CANDIDATE,GSABAH (2) CANDIDATE SEX,GSABAH (2) CANDIDATE AGE,GSABAH (2) VOTE,GSABAH (2) CANDIDATE LOST DEPOSIT,GSABAH (3),GSABAH (3) CANDIDATE,GSABAH (3) CANDIDATE SEX,GSABAH (3) CANDIDATE AGE,GSABAH (3) VOTE,GSABAH (3) CANDIDATE LOST DEPOSIT,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE SEX,WARISAN CANDIDATE AGE,WARISAN VOTE,WARISAN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,OTHER PARTY (4),OTHER PARTY (4) CANDIDATE,OTHER PARTY (4) CANDIDATE SEX,OTHER PARTY (4) CANDIDATE AGE,OTHER PARTY (4) VOTE,OTHER PARTY (4) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,RACIAL COMPOSITION
P. 140_N. 01,JOHOR,P. 140,SEGAMAT,N. 01,BULOH KASAP,BN - UMNO,,21484,877.0,83.23,17881.0,45.0,341.0,17495.0,UMNO,ZAHARI SARIP,MALE,51.0,9186.0,,PPBM,NORSAMSU MOHD YUSOF,MALE,47.0,8309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (50-59%)
P. 140_N. 02,JOHOR,P. 140,SEGAMAT,N. 02,JEMENTAH,PH - DAP,,33866,7001.0,83.55,28296.0,82.0,557.0,27657.0,MCA,CHIAM YOK MENG,MALE,41.0,9335.0,,DAP,TAN CHEN CHOON,MALE,48.0,16336.0,,PAS,KHAIRUL FAIZI BIN AHMAD KAMIL,MALE,45.0,1986.0,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese-majority (>50%)
P. 141_N. 03,JOHOR,P. 141,SEKIJANG,N. 03,PEMANIS,PH - PKR,,22314,363.0,84.44,18843.0,54.0,393.0,18396.0,GERAKAN,KOO SHIAW LEE,MALE,46.0,7941.0,,PKR,DR CHONG,MALE,58.0,8304.0,,PAS,CIKGU MALA,FEMALE,45.0,2151.0,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (60-69%)
P. 141_N. 04,JOHOR,P. 141,SEKIJANG,N. 04,KEMELAH,PH - AMANAH,,23282,2355.0,84.56,19687.0,74.0,296.0,19317.0,UMNO,ANUAR BIN ABD. MANAP,MALE,42.0,8481.0,,AMANAH,DR SULAIMAN MOHD NOR,MALE,58.0,10836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (50-59%)
P. 142_N. 05,JOHOR,P. 142,LABIS,N. 05,TENANG,PH - PPBM,,18398,1070.0,83.0,15270.0,29.0,227.0,15014.0,UMNO,MOHD AZAHAR BIN IBRAHIM,MALE,46.0,6575.0,,PPBM,SOLIHAN BADRI,MALE,62.0,7645.0,,PAS,USTAZ NASHARUDIN BIN AWANG,MALE,47.0,794.0,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed (no race >50%)
P. 142_N. 06,JOHOR,P. 142,LABIS,N. 06,BEKOK,PH - DAP,,21958,2469.0,81.42,17878.0,48.0,333.0,17497.0,MCA,TAN CHONG,MALE,53.0,7514.0,,DAP,DR S.RAMAKRISHNAN,MALE,62.0,9983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese-majority (>50%)
P. 143_N. 07,JOHOR,P. 143,PAGOH,N. 07,BUKIT KEPONG,PH - PPBM,,28992,1273.0,84.0,24352.0,151.0,383.0,23818.0,UMNO,HJ MOHD NOOR BIN TAIB,MALE,,10392.0,,PPBM,DR SAHRUDDIN BIN JAMAL,MALE,43.0,11665.0,,PAS,IQBAL RAZAK,MALE,33.0,1761.0,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (60-69%)
P. 143_N. 08,JOHOR,P. 143,PAGOH,N. 08,BUKIT PASIR,GS - PAS,,22520,1883.0,85.72,19305.0,136.0,1382.0,17787.0,UMNO,NORIAH BINTI MAHAT,FEMALE,65.0,7952.0,,,,,,,,PAS,KAPT (B) HJ NAJIB BIN LEP,MALE,55.0,9835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (60-69%)
P. 144_N. 09,JOHOR,P. 144,LEDANG,N. 09,GAMBIR,PH - PPBM,,22726,3088.0,86.86,19740.0,79.0,383.0,19278.0,MIC,DATUK M. ASOJAN,MALE,53.0,7192.0,,PPBM,TAN SRI MUHYIDDIN YASSIN,MALE,71.0,10280.0,,PAS,DATO DR MAHFODZ BIN MOHAMED,MALE,74.0,1806.0,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (50-59%)
P. 144_N. 10,JOHOR,P. 144,LEDANG,N. 10,TANGKAK,PH - DAP,,26354,5077.0,85.69,22583.0,73.0,563.0,21947.0,MCA,GOH TEE TEE,MALE,62.0,8435.0,,DAP,EE CHIN LI,MALE,36.0,13512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed (no race >50%)
