num,seat,key,winner22,winner22_bloc,runner_up22,margin22,majority22,valid22,electorate22,turnout22,bn22,ph22,pn22,muda22,malay,chinese,indian,urban_rural,report,rules,match,actual2026
N01,Buloh Kasap,BULOHKASAP,BN-UMNO,BN,PH,34.19613329941491,5377.0,15724.0,28481.0,57.07,56.95751717120326,22.76138387178835,19.072755024166877,0.0,56.93,31.55,10.94,SEMI URBAN,SAFE_BN,SAFE_BN,True,BN
N02,Jementah,JEMENTAH,PH-DAP,PH,BN,3.291232598875265,714.0,21694.0,41221.0,53.73,37.62791555268738,40.919148151562645,21.45293629574998,0.0,40.8,50.45,7.98,SEMI URBAN,TOSSUP,TOSSUP,True,BN
N03,Pemanis,PEMANIS,BN-UMNO,BN,PH,24.285134272954004,4187.0,17241.0,29923.0,58.95,50.333507337161414,26.048373064207414,22.185488080737777,0.0,63.58,33.41,2.36,SEMI URBAN,SAFE_BN,SAFE_BN,True,BN
N04,Kemelah,KEMELAH,BN-MIC,BN,PH,8.813874603348287,1611.0,18278.0,33702.0,55.69,41.13141481562534,32.31754021227705,25.380238538133273,0.0,54.28,39.46,5.43,SEMI URBAN,LIKELY_BN,LIKELY_BN,True,BN
N05,Tenang,TENANG,BN-UMNO,BN,MUDA,14.494447691408533,1736.0,11977.0,22613.0,54.47,44.91942890540202,0.0,22.785338565584038,30.424981213993487,49.17,37.94,11.17,RURAL,SAFE_BN,SAFE_BN,True,BN
N06,Bekok,BEKOK,BN-MCA,BN,PH,26.024500510427302,3569.0,13714.0,27426.0,51.31,51.30523552574012,25.280735015312818,21.007729327694328,0.0,30.26,48.75,18.39,SEMI URBAN,LIKELY_BN,LIKELY_BN,True,BN
N07,Bukit Kepong,BUKITKEPONG,PN-PPBM,PN,BN,3.1834282383535846,710.0,22303.0,37495.0,61.01,41.08415908173788,0.0,44.267587320091465,13.791866565036093,70.32,26.08,2.73,RURAL,LEAN_BN_GAIN,LEAN_BN_GAIN,True,BN
N08,Bukit Pasir,BUKITPASIR,BN-UMNO,BN,PN,1.051122790253225,198.0,18837.0,32213.0,59.85,32.10702341137124,24.82348569305091,31.055900621118013,0.0,62.31,33.1,4.15,SEMI URBAN,LIKELY_BN,LIKELY_BN,True,BN
N09,Gambir,GAMBIR,BN-UMNO,BN,PN,17.97406158944181,3146.0,17503.0,29434.0,61.33,45.477918071187794,25.761298063189166,27.503856481745988,0.0,59.39,36.51,3.75,SEMI URBAN,SAFE_BN,SAFE_BN,True,BN
N10,Tangkak,TANGKAK,PH-DAP,PH,BN,1.875,372.0,19840.0,35554.0,56.95,38.97681451612903,40.85181451612903,15.584677419354838,0.0,40.63,48.02,9.95,SEMI URBAN,TOSSUP,TOSSUP,True,BN
N11,Serom,SEROM,BN-UMNO,BN,PN,3.1549016067882287,699.0,22156.0,39018.0,58.05,38.395919841126556,24.864596497562736,35.24101823433833,0.0,67.12,31.59,0.94,SEMI URBAN,LIKELY_BN,LIKELY_BN,True,BN
N12,Bentayan,BENTAYAN,PH-DAP,PH,BN,43.96612561750177,7476.0,17004.0,34728.0,49.91,20.565749235474005,64.53187485297578,14.902375911550223,0.0,26.5,70.67,2.3,URBAN,SAFE_PH,SAFE_PH,True,PH
N13,Simpang Jeram,SIMPANGJERAM,PH-PAN,PH,PN,11.226543123215874,2399.0,21369.0,40014.0,54.72,28.368196920773084,40.94248677991483,29.715943656698958,0.0,52.66,44.21,2.5,URBAN,LEAN_BN_GAIN,LIKELY_PH,False,PH
N14,Bukit Naning,BUKITNANING,BN-UMNO,BN,PN,10.76739618406285,1535.0,14256.0,22594.0,64.4,38.13832772166106,23.26739618406285,27.370931537598203,0.0,63.32,35.11,0.97,SEMI URBAN,LIKELY_BN,LIKELY_BN,True,BN
N15,Maharani,MAHARANI,PN-PAS,PN,PH,4.934335744194899,1037.0,21016.0,38596.0,55.76,27.888275599543206,31.033498287019412,35.967834031214316,0.0,61.61,35.53,2.16,URBAN,LEAN_BN_GAIN,LEAN_BN_GAIN,True,BN
N16,Sungai Balang,SUNGAIBALANG,BN-UMNO,BN,PN,12.598901098901099,2293.0,18200.0,30121.0,61.83,45.57142857142857,19.64835164835165,32.972527472527474,0.0,73.63,25.78,0.14,RURAL,SAFE_BN,LIKELY_BN,False,BN
N17,Semerah,SEMERAH,BN-UMNO,BN,PN,14.47556956584038,4041.0,27916.0,46640.0,61.36,44.92764006304628,22.442326980942827,30.452070497205902,0.0,74.29,24.85,0.49,RURAL,SAFE_BN,SAFE_BN,True,BN
N18,Sri Medan,SRIMEDAN,BN-UMNO,BN,PN,28.843324751746966,6274.0,21752.0,32696.0,68.02,60.52317028319235,7.066016917984554,31.679845531445384,0.0,90.6,8.57,0.29,RURAL,SAFE_BN,SAFE_BN,True,BN
N19,Yong Peng,YONGPENG,BN-MCA,BN,PH,14.673447537473233,2741.0,18680.0,33053.0,57.53,52.8372591006424,38.16381156316916,8.998929336188437,0.0,35.08,57.65,6.8,SEMI URBAN,LIKELY_BN,LIKELY_BN,True,BN
